path,audio,text,duration
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0000.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0000.wav,meet the gimp এর tutorial আপনাদের স্বাগত,3.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0001.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0001.wav,এই টিউটোরিয়াল উত্তর germany bremen rolf steinort দ্বারা নির্মিত,6.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0002.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0002.wav,শুরুতে আমি in কিছু করব যার উল্লেখ করা আমি সর্বদা ভুলে যাই,7.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0003.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0003.wav,image কোনো কিছু করার পূর্বে আমি সর্বদা এটি সংরক্ষণ করতে ভুলে যাই,11.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0004.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0004.wav,তাই আমি file save as এ যাই এবং এটিকে comicxcf রূপে সংরক্ষণ করি,27.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0005.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0005.wav,xcf gimp মূল file ফরম্যাট এবং এটি file সকল layers তথ্য রাখে,10.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0006.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0006.wav,gimp jpeg বা tif বা অন্যের মত যা কিছু সংরক্ষণ করবেন না,8.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0007.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0007.wav,সেখানে থেকে আপনি যে কোনো ফরম্যাটে export করতে পারেন কিন্তু আপনি যদি আরো কাজ করতে চান তাহলে xcf ব্যবহার করুন,15.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0008.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0008.wav,তাই কি করতে have প্রথম জিনিস আমাকে এই image একটু স্পষ্ট করতে have,14.0
/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0009.wav,/home/abdullahmm/Shivam/train/train_wav/103277_EZTr6oOssv22fR3n_0009.wav,এখানে দুটি সমস্যা রয়েছে প্রথমত রল্ফ স্টাইনর্টের ইমেজের পিছনে যে লোক রয়েছে,16.0
